,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,gender,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,Low,6.0,,radio/tv,1169.0,Unknown,Very Long,4.0,Male,none,4.0,real estate,67.0,none,own,2.0,Qualified,1.0,yes,yes,good
1,Medium,48.0,,radio/tv,5951.0,Very Low,Medium,2.0,Female,none,2.0,real estate,22.0,none,own,1.0,Qualified,1.0,none,yes,bad
2,Unknown,12.0,,education,2096.0,Very Low,Long,2.0,Male,none,3.0,real estate,49.0,none,own,1.0,Unqualified,2.0,none,yes,good
3,Low,42.0,,furniture/equipment,7882.0,Very Low,Long,2.0,Male,guarantor,4.0,life insurance,45.0,none,for free,1.0,Qualified,2.0,none,yes,good
4,Low,24.0,,new car,4870.0,Very Low,Medium,3.0,Male,none,4.0,no known property,53.0,none,for free,2.0,Qualified,2.0,none,yes,bad
5,Unknown,36.0,,education,9055.0,Unknown,Medium,2.0,Male,none,4.0,no known property,35.0,none,for free,1.0,Unqualified,2.0,yes,yes,good
6,Unknown,24.0,,furniture/equipment,2835.0,Medium,Very Long,3.0,Male,none,4.0,life insurance,53.0,none,own,1.0,Qualified,1.0,none,yes,good
7,Medium,36.0,,used car,6948.0,Very Low,Medium,2.0,Male,none,2.0,car,35.0,none,rent,1.0,High Qualified,1.0,yes,yes,good
8,Unknown,12.0,,radio/tv,3059.0,High,Long,2.0,Male,none,4.0,real estate,61.0,none,own,1.0,Unqualified,1.0,none,yes,good
9,Medium,30.0,,new car,5234.0,Very Low,,4.0,Male,none,2.0,car,28.0,none,own,2.0,High Qualified,1.0,none,yes,bad
10,Medium,12.0,,new car,1295.0,Very Low,Short,3.0,Female,none,1.0,car,25.0,none,rent,1.0,Qualified,1.0,none,yes,bad
11,Low,48.0,,business,4308.0,Very Low,Short,3.0,Female,none,4.0,life insurance,24.0,none,rent,1.0,Qualified,1.0,none,yes,bad
12,Medium,12.0,,radio/tv,1567.0,Very Low,Medium,1.0,Female,none,1.0,car,22.0,none,own,1.0,Qualified,1.0,yes,yes,good
13,Low,24.0,,new car,1199.0,Very Low,Very Long,4.0,Male,none,4.0,car,60.0,none,own,2.0,Unqualified,1.0,none,yes,bad
14,Low,15.0,,new car,1403.0,Very Low,Medium,2.0,Female,none,4.0,car,28.0,none,rent,1.0,Qualified,1.0,none,yes,good
15,Low,24.0,,radio/tv,1282.0,Low,Medium,4.0,Female,none,2.0,car,32.0,none,own,1.0,Unqualified,1.0,none,yes,bad
16,Unknown,24.0,,radio/tv,2424.0,Unknown,Very Long,4.0,Male,none,4.0,life insurance,53.0,none,own,2.0,Qualified,1.0,none,yes,good
17,Low,30.0,no credits,business,8072.0,Unknown,Short,2.0,Male,none,3.0,car,25.0,bank,own,3.0,Qualified,1.0,none,yes,good
18,Medium,24.0,,used car,12579.0,Very Low,Very Long,4.0,Female,none,2.0,no known property,44.0,none,for free,1.0,High Qualified,1.0,yes,yes,bad
19,Unknown,24.0,,radio/tv,3430.0,Medium,Very Long,3.0,Male,none,2.0,car,31.0,none,own,1.0,Qualified,2.0,yes,yes,good
20,Unknown,9.0,,new car,2134.0,Very Low,Medium,4.0,Male,none,4.0,car,48.0,none,own,3.0,Qualified,1.0,yes,yes,good
21,Low,6.0,,radio/tv,2647.0,Medium,Medium,2.0,Male,none,3.0,real estate,44.0,none,rent,1.0,Qualified,2.0,none,yes,good
22,Low,10.0,,new car,2241.0,Very Low,Short,1.0,Male,none,3.0,real estate,48.0,none,rent,2.0,Unqualified,2.0,none,no,good
23,Medium,12.0,,used car,1804.0,Low,Short,3.0,Male,none,4.0,life insurance,44.0,none,own,1.0,Qualified,1.0,none,yes,good
24,Unknown,10.0,,furniture/equipment,2069.0,Unknown,Medium,2.0,Male,none,1.0,car,26.0,none,own,2.0,Qualified,1.0,none,no,good
25,Low,6.0,,furniture/equipment,1374.0,Very Low,Medium,1.0,Male,none,2.0,real estate,36.0,bank,own,1.0,Unqualified,1.0,yes,yes,good
26,Unknown,6.0,no credits,radio/tv,426.0,Very Low,Very Long,4.0,Male,none,4.0,car,39.0,none,own,1.0,Unqualified,1.0,none,yes,good
27,High,12.0,,radio/tv,409.0,High,Medium,3.0,Female,none,3.0,real estate,42.0,none,rent,2.0,Qualified,1.0,none,yes,good
28,Medium,7.0,,radio/tv,2415.0,Very Low,Medium,3.0,Male,guarantor,2.0,real estate,34.0,none,own,1.0,Qualified,1.0,none,yes,good
29,Low,60.0,,business,6836.0,Very Low,Very Long,3.0,Male,none,4.0,no known property,63.0,none,own,2.0,Qualified,1.0,yes,yes,bad
30,Medium,18.0,,business,1913.0,High,Short,3.0,Male,none,3.0,real estate,36.0,bank,own,1.0,Qualified,1.0,yes,yes,good
31,Low,24.0,,furniture/equipment,4020.0,Very Low,Medium,2.0,Male,none,2.0,car,27.0,stores,own,1.0,Qualified,1.0,none,yes,good
32,Medium,18.0,,new car,5866.0,Low,Medium,2.0,Male,none,2.0,car,30.0,none,own,2.0,Qualified,1.0,yes,yes,good
33,Unknown,12.0,,business,1264.0,Unknown,Very Long,4.0,Male,none,4.0,no known property,57.0,none,rent,1.0,Unqualified,1.0,none,yes,good
34,High,12.0,,furniture/equipment,1474.0,Very Low,Short,4.0,Female,none,1.0,life insurance,33.0,bank,own,1.0,High Qualified,1.0,yes,yes,good
35,Medium,45.0,,radio/tv,4746.0,Very Low,Short,4.0,Male,none,2.0,life insurance,25.0,none,own,2.0,Unqualified,1.0,none,yes,bad
36,Unknown,48.0,,education,6110.0,Very Low,Medium,1.0,Male,none,3.0,no known property,31.0,bank,for free,1.0,Qualified,1.0,yes,yes,good
37,High,18.0,,radio/tv,2100.0,Very Low,Medium,4.0,Male,co applicant,2.0,real estate,37.0,stores,own,1.0,Qualified,1.0,none,yes,bad
38,High,10.0,,domestic appliance,1225.0,Very Low,Medium,2.0,Male,none,2.0,car,37.0,none,own,1.0,Qualified,1.0,yes,yes,good
39,Medium,9.0,,radio/tv,458.0,Very Low,Medium,4.0,Male,none,3.0,real estate,24.0,none,own,1.0,Qualified,1.0,none,yes,good
40,Unknown,30.0,,radio/tv,2333.0,Medium,Very Long,4.0,Male,none,2.0,car,30.0,bank,own,1.0,High Qualified,1.0,none,yes,good
41,Medium,12.0,,radio/tv,1158.0,Medium,Medium,3.0,Male,none,1.0,car,26.0,none,own,1.0,Qualified,1.0,yes,yes,good
42,Medium,18.0,,repairs,6204.0,Very Low,Medium,2.0,Male,none,4.0,real estate,44.0,none,own,1.0,Unqualified,2.0,yes,yes,good
43,Low,30.0,,used car,6187.0,Low,Long,1.0,Male,none,4.0,car,24.0,none,rent,2.0,Qualified,1.0,none,yes,good
44,Low,48.0,,used car,6143.0,Very Low,Very Long,4.0,Female,none,4.0,no known property,58.0,stores,for free,2.0,Unqualified,1.0,none,yes,bad
45,Unknown,11.0,,new car,1393.0,Very Low,Short,4.0,Female,none,4.0,car,35.0,none,own,2.0,High Qualified,1.0,none,yes,good
46,Unknown,36.0,,radio/tv,2299.0,Medium,Very Long,4.0,Male,none,4.0,car,39.0,none,own,1.0,Qualified,1.0,none,yes,good
47,Low,6.0,,used car,1352.0,Medium,,1.0,Female,none,2.0,life insurance,23.0,none,rent,1.0,Unemployed,1.0,yes,yes,good
48,Unknown,11.0,,new car,7228.0,Very Low,Medium,1.0,Male,none,4.0,life insurance,39.0,none,own,2.0,Unqualified,1.0,none,yes,good
49,Unknown,12.0,,radio/tv,2073.0,Low,Medium,4.0,Female,co applicant,2.0,real estate,28.0,none,own,1.0,Qualified,1.0,none,yes,good
50,Medium,24.0,,furniture/equipment,2333.0,Unknown,Short,4.0,Male,none,2.0,life insurance,29.0,bank,own,1.0,Unqualified,1.0,none,yes,good
51,Medium,27.0,,used car,5965.0,Very Low,Very Long,1.0,Male,none,2.0,car,30.0,none,own,2.0,High Qualified,1.0,yes,yes,good
52,Unknown,12.0,,radio/tv,1262.0,Very Low,Medium,3.0,Male,none,2.0,car,25.0,none,own,1.0,Qualified,1.0,none,yes,good
53,Unknown,18.0,,used car,3378.0,Unknown,Medium,2.0,Male,none,1.0,life insurance,31.0,none,own,1.0,Qualified,1.0,yes,yes,good
54,Medium,36.0,,new car,2225.0,Very Low,Very Long,4.0,Male,none,4.0,no known property,57.0,bank,for free,2.0,Qualified,1.0,yes,yes,bad
